# BUSCO version is: 4.0.5 
# The lineage dataset is: plasmodium_odb10 (Creation date: 2019-11-21, number of species: 23, number of BUSCOs: 3642)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
0at5820	Missing
4at5820	Missing
17at5820	Complete	501_g	4773.6	3847	https://www.orthodb.org/v10?query=17at5820	Dynein beta chain, putative
18at5820	Missing
19at5820	Fragmented	2571_g	1872.7	2379	https://www.orthodb.org/v10?query=19at5820	PowCR01_120065400
24at5820	Missing
25at5820	Complete	1268_g	7277.8	4290	https://www.orthodb.org/v10?query=25at5820	Dynein heavy chain
27at5820	Complete	1284_g	8547.4	4879	https://www.orthodb.org/v10?query=27at5820	Dynein heavy chain
28at5820	Missing
39at5820	Missing
40at5820	Complete	111_g	5033.1	5736	https://www.orthodb.org/v10?query=40at5820	Dynein-related AAA-type ATPase, putative
41at5820	Missing
43at5820	Complete	459_g	5154.7	4345	https://www.orthodb.org/v10?query=43at5820	homeobox-containing protein
44at5820	Fragmented	2977_g	2396.9	1934	https://www.orthodb.org/v10?query=44at5820	Dynein heavy chain
45at5820	Missing
48at5820	Complete	394_g	5979.2	6751	https://www.orthodb.org/v10?query=48at5820	Vacuolar protein sorting-associated protein 13
54at5820	Missing
56at5820	Missing
59at5820	Complete	1752_g	1417.8	2389	https://www.orthodb.org/v10?query=59at5820	Separase, putative
65at5820	Missing
70at5820	Missing
71at5820	Fragmented	2005_g	2018.4	1640	https://www.orthodb.org/v10?query=71at5820	PowCR01_140059700
72at5820	Missing
74at5820	Complete	142_g	2178.7	3094	https://www.orthodb.org/v10?query=74at5820	Anaphase-promoting complex subunit 1
83at5820	Missing
86at5820	Fragmented	2837_g	742.8	957	https://www.orthodb.org/v10?query=86at5820	PowCR01_050023700
90at5820	Complete	996_g	4155.9	3810	https://www.orthodb.org/v10?query=90at5820	PowCR01_110041800
92at5820	Complete	975_g	1959.5	3523	https://www.orthodb.org/v10?query=92at5820	DNA polymerase phi subunit
99at5820	Missing
100at5820	Fragmented	1824_g	3043.6	2175	https://www.orthodb.org/v10?query=100at5820	P-type ATPase, C-terminal
101at5820	Missing
102at5820	Missing
108at5820	Missing
109at5820	Missing
118at5820	Missing
121at5820	Missing
123at5820	Missing
126at5820	Complete	2722_g	2321.5	2503	https://www.orthodb.org/v10?query=126at5820	protein kinase regulator activity
132at5820	Missing
137at5820	Missing
142at5820	Complete	1085_g	4753.1	2575	https://www.orthodb.org/v10?query=142at5820	Glutamate synthase, alpha subunit, C-terminal
